Peer ID : 9
Mean Block Creation Time : 30000.0 ms


5c7d46c1-0e6f-11ec-8feb-0dcea3726d40 : 139570.07 ms

5c7d4723-0e6f-11ec-8feb-0dcea3726d40 : 149061.23 ms

5c7d4737-0e6f-11ec-8feb-0dcea3726d40 : 182123.15 ms

5c7d474a-0e6f-11ec-8feb-0dcea3726d40 : 205331.61 ms

5c7d476f-0e6f-11ec-8feb-0dcea3726d40 : 212414.8 ms

5c7d478a-0e6f-11ec-8feb-0dcea3726d40 : 215539.1 ms

5c7d479c-0e6f-11ec-8feb-0dcea3726d40 : 245416.74 ms

5c7d47bd-0e6f-11ec-8feb-0dcea3726d40 : 265716.72 ms

5c7d47cf-0e6f-11ec-8feb-0dcea3726d40 : 283179.56 ms

5c7d47e3-0e6f-11ec-8feb-0dcea3726d40 : 288963.02 ms

5c7d481d-0e6f-11ec-8feb-0dcea3726d40 : 521089.84 ms

5c7d4861-0e6f-11ec-8feb-0dcea3726d40 : 578081.32 ms

5c7d4892-0e6f-11ec-8feb-0dcea3726d40 : 607377.17 ms

5c7d48b0-0e6f-11ec-8feb-0dcea3726d40 : 646694.72 ms

5c7d48c8-0e6f-11ec-8feb-0dcea3726d40 : 662508.68 ms

5c7d48e6-0e6f-11ec-8feb-0dcea3726d40 : 686731.8 ms

5c7d48f4-0e6f-11ec-8feb-0dcea3726d40 : 710826.39 ms

5c7d4916-0e6f-11ec-8feb-0dcea3726d40 : 725039.47 ms

5c7d492e-0e6f-11ec-8feb-0dcea3726d40 : 733689.94 ms

5c7d4947-0e6f-11ec-8feb-0dcea3726d40 : 745785.21 ms

5c7d4968-0e6f-11ec-8feb-0dcea3726d40 : 876064.12 ms

5c7d49a4-0e6f-11ec-8feb-0dcea3726d40 : 901585.53 ms

5c7d49c8-0e6f-11ec-8feb-0dcea3726d40 : 950376.23 ms

5c7d49e7-0e6f-11ec-8feb-0dcea3726d40 : 995727.18 ms

5c7d4a0d-0e6f-11ec-8feb-0dcea3726d40 : 1035665.26 ms

5c7d4a48-0e6f-11ec-8feb-0dcea3726d40 : 1062254.82 ms

5c7d4a5f-0e6f-11ec-8feb-0dcea3726d40 : 1095516.48 ms

5c7d4a7c-0e6f-11ec-8feb-0dcea3726d40 : 1124220.84 ms

5c7d4a93-0e6f-11ec-8feb-0dcea3726d40 : 1147024.25 ms

5ce8c52b-0e6f-11ec-8feb-0dcea3726d40 : 1198199.12 ms

5ce8c545-0e6f-11ec-8feb-0dcea3726d40 : 1220374.83 ms

5ce8c55e-0e6f-11ec-8feb-0dcea3726d40 : 1266427.17 ms

5ce8c589-0e6f-11ec-8feb-0dcea3726d40 : 1298822.0 ms

5ce8c59f-0e6f-11ec-8feb-0dcea3726d40 : 1352257.66 ms

5ce8c5c3-0e6f-11ec-8feb-0dcea3726d40 : 1363104.0 ms

5ce8c5f9-0e6f-11ec-8feb-0dcea3726d40 : 1430066.8 ms

5ce8c615-0e6f-11ec-8feb-0dcea3726d40 : 1472429.69 ms

5ce8c637-0e6f-11ec-8feb-0dcea3726d40 : 1490262.11 ms

5ce8c651-0e6f-11ec-8feb-0dcea3726d40 : 1517980.0 ms

5ce8c698-0e6f-11ec-8feb-0dcea3726d40 : 1549909.31 ms

5ce8c6a7-0e6f-11ec-8feb-0dcea3726d40 : 1560502.07 ms

5ce8c6bc-0e6f-11ec-8feb-0dcea3726d40 : 1584454.54 ms

5ce8c6d6-0e6f-11ec-8feb-0dcea3726d40 : 1601902.55 ms

5ce8c6fe-0e6f-11ec-8feb-0dcea3726d40 : 1633380.23 ms

5ce8c70e-0e6f-11ec-8feb-0dcea3726d40 : 1654089.43 ms

5ce8c72a-0e6f-11ec-8feb-0dcea3726d40 : 1677746.25 ms

5ce8c748-0e6f-11ec-8feb-0dcea3726d40 : 1698545.94 ms

5ce8c77a-0e6f-11ec-8feb-0dcea3726d40 : 1739886.9 ms

5ce8c792-0e6f-11ec-8feb-0dcea3726d40 : 1762001.43 ms

5ce8c7a1-0e6f-11ec-8feb-0dcea3726d40 : 1767346.72 ms

5ce8c7c1-0e6f-11ec-8feb-0dcea3726d40 : 1796458.8 ms

5ce8c7cd-0e6f-11ec-8feb-0dcea3726d40 : 1814552.33 ms

5ce8c814-0e6f-11ec-8feb-0dcea3726d40 : 1833440.39 ms

5ce8c81a-0e6f-11ec-8feb-0dcea3726d40 : 1876205.3 ms

5ce8c860-0e6f-11ec-8feb-0dcea3726d40 : 1909788.87 ms

5ce8c884-0e6f-11ec-8feb-0dcea3726d40 : 1920733.5 ms

5ce8c88d-0e6f-11ec-8feb-0dcea3726d40 : 1929927.9 ms

5ce8c8af-0e6f-11ec-8feb-0dcea3726d40 : 1943488.12 ms

5ce8c8c6-0e6f-11ec-8feb-0dcea3726d40 : 2008696.69 ms

5ce8c8ea-0e6f-11ec-8feb-0dcea3726d40 : 2048264.38 ms

5d453cc7-0e6f-11ec-8feb-0dcea3726d40 : 2050882.57 ms

5d453ced-0e6f-11ec-8feb-0dcea3726d40 : 2081716.71 ms

5d453d0a-0e6f-11ec-8feb-0dcea3726d40 : 2090072.93 ms

5d453d17-0e6f-11ec-8feb-0dcea3726d40 : 2126113.92 ms

5d453d43-0e6f-11ec-8feb-0dcea3726d40 : 2135408.09 ms

5d453d4d-0e6f-11ec-8feb-0dcea3726d40 : 2141534.96 ms

5d453d72-0e6f-11ec-8feb-0dcea3726d40 : 2158078.88 ms

5d453d84-0e6f-11ec-8feb-0dcea3726d40 : 2162098.26 ms

5d453da0-0e6f-11ec-8feb-0dcea3726d40 : 2171853.57 ms

5d453da6-0e6f-11ec-8feb-0dcea3726d40 : 2201299.59 ms

5d453dc2-0e6f-11ec-8feb-0dcea3726d40 : 2217096.89 ms

5d453de4-0e6f-11ec-8feb-0dcea3726d40 : 2227211.23 ms

5d453e00-0e6f-11ec-8feb-0dcea3726d40 : 2299641.83 ms

5d453e24-0e6f-11ec-8feb-0dcea3726d40 : 2331729.87 ms

5d453e48-0e6f-11ec-8feb-0dcea3726d40 : 2333696.36 ms

5d453e59-0e6f-11ec-8feb-0dcea3726d40 : 2412872.8 ms

5d453e8e-0e6f-11ec-8feb-0dcea3726d40 : 2437960.92 ms

5d453eab-0e6f-11ec-8feb-0dcea3726d40 : 2441775.88 ms

5d453eb8-0e6f-11ec-8feb-0dcea3726d40 : 2460439.74 ms

5d453ed4-0e6f-11ec-8feb-0dcea3726d40 : 2494386.1 ms

5d453eef-0e6f-11ec-8feb-0dcea3726d40 : 2519071.29 ms

5d453f08-0e6f-11ec-8feb-0dcea3726d40 : 2527416.41 ms

5d453f2c-0e6f-11ec-8feb-0dcea3726d40 : 2536472.02 ms

5d453f34-0e6f-11ec-8feb-0dcea3726d40 : 2560115.12 ms

5d453f5c-0e6f-11ec-8feb-0dcea3726d40 : 2575981.76 ms

5d453f74-0e6f-11ec-8feb-0dcea3726d40 : 2606965.39 ms

5d453f91-0e6f-11ec-8feb-0dcea3726d40 : 2643392.66 ms

5d453fb7-0e6f-11ec-8feb-0dcea3726d40 : 2647918.87 ms

5d453fc8-0e6f-11ec-8feb-0dcea3726d40 : 2694414.25 ms

5d453ff3-0e6f-11ec-8feb-0dcea3726d40 : 2717211.99 ms

5d454006-0e6f-11ec-8feb-0dcea3726d40 : 2717999.45 ms

5d45402a-0e6f-11ec-8feb-0dcea3726d40 : 2724010.14 ms

5d454039-0e6f-11ec-8feb-0dcea3726d40 : 2726814.23 ms

5d454045-0e6f-11ec-8feb-0dcea3726d40 : 2795277.65 ms

5d454076-0e6f-11ec-8feb-0dcea3726d40 : 2811070.75 ms

5d45408a-0e6f-11ec-8feb-0dcea3726d40 : 2821579.24 ms

5d9eb466-0e6f-11ec-8feb-0dcea3726d40 : 2884645.57 ms

5d9eb48d-0e6f-11ec-8feb-0dcea3726d40 : 2887529.63 ms

5d9eb4a4-0e6f-11ec-8feb-0dcea3726d40 : 2939630.95 ms

5d9eb4c7-0e6f-11ec-8feb-0dcea3726d40 : 2965391.9 ms

5d9eb4ef-0e6f-11ec-8feb-0dcea3726d40 : 2992979.65 ms

5d9eb4ff-0e6f-11ec-8feb-0dcea3726d40 : 3055880.11 ms

5d9eb52b-0e6f-11ec-8feb-0dcea3726d40 : 3134819.11 ms

5d9eb576-0e6f-11ec-8feb-0dcea3726d40 : 3187388.11 ms

5d9eb596-0e6f-11ec-8feb-0dcea3726d40 : 3264416.55 ms

5d9eb5c6-0e6f-11ec-8feb-0dcea3726d40 : 3296047.28 ms

5d9eb5e5-0e6f-11ec-8feb-0dcea3726d40 : 3320697.43 ms

5d9eb605-0e6f-11ec-8feb-0dcea3726d40 : 3369831.35 ms

5d9eb634-0e6f-11ec-8feb-0dcea3726d40 : 3410114.22 ms

5d9eb64f-0e6f-11ec-8feb-0dcea3726d40 : 3412227.35 ms

5d9eb660-0e6f-11ec-8feb-0dcea3726d40 : 3421208.19 ms

5d9eb681-0e6f-11ec-8feb-0dcea3726d40 : 3460339.9 ms

5d9eb69d-0e6f-11ec-8feb-0dcea3726d40 : 3462223.61 ms

5d9eb6be-0e6f-11ec-8feb-0dcea3726d40 : 3544481.73 ms

5d9eb6e2-0e6f-11ec-8feb-0dcea3726d40 : 3548322.39 ms

5d9eb715-0e6f-11ec-8feb-0dcea3726d40 : 3656260.5 ms

5d9eb735-0e6f-11ec-8feb-0dcea3726d40 : 3659359.66 ms

5d9eb74c-0e6f-11ec-8feb-0dcea3726d40 : 3681736.66 ms

5d9eb775-0e6f-11ec-8feb-0dcea3726d40 : 3716609.26 ms

5d9eb784-0e6f-11ec-8feb-0dcea3726d40 : 3727630.35 ms

5d9eb79b-0e6f-11ec-8feb-0dcea3726d40 : 3769120.24 ms

5d9eb7be-0e6f-11ec-8feb-0dcea3726d40 : 3814829.66 ms

5d9eb7ef-0e6f-11ec-8feb-0dcea3726d40 : 3904079.75 ms

5d9eb81b-0e6f-11ec-8feb-0dcea3726d40 : 3929356.5 ms

5e12d6f5-0e6f-11ec-8feb-0dcea3726d40 : 3962243.66 ms

5e12d711-0e6f-11ec-8feb-0dcea3726d40 : 3969917.63 ms

5e12d719-0e6f-11ec-8feb-0dcea3726d40 : 4002768.44 ms

5e12d745-0e6f-11ec-8feb-0dcea3726d40 : 4037117.3 ms

5e12d797-0e6f-11ec-8feb-0dcea3726d40 : 4157169.27 ms

5e12d7ae-0e6f-11ec-8feb-0dcea3726d40 : 4162326.51 ms

5e12d7c1-0e6f-11ec-8feb-0dcea3726d40 : 4164820.87 ms

5e12d7e8-0e6f-11ec-8feb-0dcea3726d40 : 4178928.61 ms

5e12d7ff-0e6f-11ec-8feb-0dcea3726d40 : 4181986.21 ms

5e12d80b-0e6f-11ec-8feb-0dcea3726d40 : 4193283.41 ms

5e12d828-0e6f-11ec-8feb-0dcea3726d40 : 4258799.08 ms

5e12d854-0e6f-11ec-8feb-0dcea3726d40 : 4261000.08 ms

5e12d861-0e6f-11ec-8feb-0dcea3726d40 : 4271346.62 ms

5e12d875-0e6f-11ec-8feb-0dcea3726d40 : 4286434.91 ms

5e12d893-0e6f-11ec-8feb-0dcea3726d40 : 4333405.8 ms

5e12d8c1-0e6f-11ec-8feb-0dcea3726d40 : 4345429.6 ms

5e12d8db-0e6f-11ec-8feb-0dcea3726d40 : 4428315.89 ms

5e12d901-0e6f-11ec-8feb-0dcea3726d40 : 4431171.27 ms

5e12d914-0e6f-11ec-8feb-0dcea3726d40 : 4452618.77 ms

5e12d934-0e6f-11ec-8feb-0dcea3726d40 : 4456399.1 ms

5e12d948-0e6f-11ec-8feb-0dcea3726d40 : 4488258.41 ms

5e12d963-0e6f-11ec-8feb-0dcea3726d40 : 4492938.83 ms

5e12d985-0e6f-11ec-8feb-0dcea3726d40 : 4509678.12 ms

5e12d990-0e6f-11ec-8feb-0dcea3726d40 : 4524531.52 ms

5e12d9a6-0e6f-11ec-8feb-0dcea3726d40 : 4555836.47 ms

5e12d9d5-0e6f-11ec-8feb-0dcea3726d40 : 4556693.17 ms

5e12d9db-0e6f-11ec-8feb-0dcea3726d40 : 4603870.32 ms

5e12da23-0e6f-11ec-8feb-0dcea3726d40 : 4650420.52 ms

5e12da40-0e6f-11ec-8feb-0dcea3726d40 : 4706737.36 ms

5e12da6d-0e6f-11ec-8feb-0dcea3726d40 : 4829113.63 ms

5e12daa9-0e6f-11ec-8feb-0dcea3726d40 : 4850576.78 ms

5e12dac4-0e6f-11ec-8feb-0dcea3726d40 : 4914705.01 ms

5e7f5232-0e6f-11ec-8feb-0dcea3726d40 : 4915185.58 ms

5e7f523a-0e6f-11ec-8feb-0dcea3726d40 : 4915281.74 ms

5e7f524e-0e6f-11ec-8feb-0dcea3726d40 : 4915430.66 ms

5e7f525f-0e6f-11ec-8feb-0dcea3726d40 : 4948854.69 ms

5e7f5286-0e6f-11ec-8feb-0dcea3726d40 : 4957204.55 ms

5e7f529f-0e6f-11ec-8feb-0dcea3726d40 : 5000802.05 ms

5e7f52b8-0e6f-11ec-8feb-0dcea3726d40 : 5003409.27 ms

5e7f52d4-0e6f-11ec-8feb-0dcea3726d40 : 5033542.46 ms

5e7f52fe-0e6f-11ec-8feb-0dcea3726d40 : 5054431.52 ms

5e7f5320-0e6f-11ec-8feb-0dcea3726d40 : 5086491.95 ms

5e7f532e-0e6f-11ec-8feb-0dcea3726d40 : 5094332.38 ms

5e7f5355-0e6f-11ec-8feb-0dcea3726d40 : 5097793.63 ms

5e7f5384-0e6f-11ec-8feb-0dcea3726d40 : 5173298.99 ms

5e7f5404-0e6f-11ec-8feb-0dcea3726d40 : 5317704.62 ms

5e7f5438-0e6f-11ec-8feb-0dcea3726d40 : 5345437.41 ms

5e7f544e-0e6f-11ec-8feb-0dcea3726d40 : 5353981.44 ms

5e7f5462-0e6f-11ec-8feb-0dcea3726d40 : 5359710.78 ms

5e7f547d-0e6f-11ec-8feb-0dcea3726d40 : 5373757.68 ms

5e7f54a3-0e6f-11ec-8feb-0dcea3726d40 : 5397922.48 ms

5e7f54b4-0e6f-11ec-8feb-0dcea3726d40 : 5477886.44 ms

5e7f54e6-0e6f-11ec-8feb-0dcea3726d40 : 5506856.82 ms

5e7f54f8-0e6f-11ec-8feb-0dcea3726d40 : 5561377.74 ms

5e7f5522-0e6f-11ec-8feb-0dcea3726d40 : 5637422.23 ms

5e7f554b-0e6f-11ec-8feb-0dcea3726d40 : 5638550.31 ms

5e7f5565-0e6f-11ec-8feb-0dcea3726d40 : 5640226.25 ms

5e7f5582-0e6f-11ec-8feb-0dcea3726d40 : 5644643.84 ms

5e7f5595-0e6f-11ec-8feb-0dcea3726d40 : 5674527.48 ms

5e7f55b8-0e6f-11ec-8feb-0dcea3726d40 : 5755492.16 ms

5e7f55d8-0e6f-11ec-8feb-0dcea3726d40 : 5771571.88 ms

5e7f55ee-0e6f-11ec-8feb-0dcea3726d40 : 5786267.38 ms

5edd47ce-0e6f-11ec-8feb-0dcea3726d40 : 5796010.31 ms

5edd47dc-0e6f-11ec-8feb-0dcea3726d40 : 5811670.16 ms

5edd480b-0e6f-11ec-8feb-0dcea3726d40 : 5880642.41 ms

5edd4830-0e6f-11ec-8feb-0dcea3726d40 : 5906303.51 ms

5edd486f-0e6f-11ec-8feb-0dcea3726d40 : 5967803.27 ms

5edd4882-0e6f-11ec-8feb-0dcea3726d40 : 5977720.06 ms

5edd48a3-0e6f-11ec-8feb-0dcea3726d40 : 5987969.56 ms

